CODE	NAME	CONTEXT	SEARCH
SE.5	Software Design	System design principles: levels of abstraction (architectural design and detailed design), separation of concerns, information hiding, coupling and cohesion, re-use of standard structures.  Design Paradigms such as structured design (top-down functional decomposition), object-oriented analysis and design, event driven design, component-level design, data-structured centered, aspect oriented, function oriented, service oriented.  Structural and behavioral models of software designs.  Design patterns	(software design)
SE.6	Software Construction	Coding practices: techniques, idioms/patterns, mechanisms for building quality programs (cross-reference IAS/Defensive Programming; SDF/Development Methods). Defensive coding practices. Secure coding practices. Using exception handling mechanisms to make programs more robust, fault-tolerant.  Coding standards.  Integration strategies.  Development context: “green field" vs. existing code base. Change impact analysis. Change actualization	(software construction)
SE.7	Software Verification and Validation	Verification and validation concepts.  Inspections, reviews, audits.  Testing types, including human computer interface, usability, reliability, security, conformance to specification (cross-reference IAS/Secure Software Engineering).  Testing fundamentals (cross-reference SDF/Development Methods). Unit, integration, validation, and system testing. Test plan creation and test case generation. Black-box and white-box testing techniques. Regression testing and test automation.  Defect tracking.  Limitations of testing in particular domains, such as parallel or safety-critical systems	(software verification and validation v and v v&v)
SE.8	Software Evolution	Software development in the context of large, pre-existing code bases. Software change. Concerns and concern location. Refactoring.  Software evolution.  Characteristics of maintainable software.  Reengineering systems.  Software reuse - 184 -. Code segments. Libraries and frameworks. Components. Product lines	(software evolution)
SE.9	Software Reliability	Software reliability engineering concepts.  Software reliability, system reliability and failure behavior (cross-reference SF/Reliability Through Redundancy).  Fault lifecycle concepts and techniques	(software reliability)
SE.10	Formal Methods	Role of formal specification and analysis techniques in the software development cycle.  Program assertion languages and analysis approaches (including languages for writing and analyzing pre- and post-conditions, such as OCL, JML).  Formal approaches to software modeling and analysis. Model checkers. Model finders.  Tools in support of formal methods	(formal methods)
SF	Systems Fundamentals	The underlying hardware and software infrastructure upon which applications are constructed is collectively described by the term "computer systems." Computer systems broadly span the sub- disciplines of operating systems, parallel and distributed systems, communications networks, and computer architecture. Traditionally, these areas are taught in a non-integrated way through independent courses. However these sub-disciplines increasingly share important common fundamental concepts within their respective cores. These concepts include computational paradigms, parallelism, cross-layer communications, state and state transition, resource allocation and scheduling, and so on. The Systems Fundamentals Knowledge Area is designed to present an integrative view of these fundamental concepts in a unified albeit simplified fashion, providing a common foundation for the different specialized mechanisms and policies appropriate to the particular domain area.	(systems fundamentals)
SF.1	Computational Paradigms	Basic building blocks and components of a computer (gates, flip-flops, registers, interconnections; Datapath + Control + Memory).  Hardware as a computational paradigm: Fundamental logic building blocks; Logic expressions, minimization, sum of product forms.  Application-level sequential processing: single thread.  Simple application-level parallel processing: request level (web services/client-server/distributed), single thread per server, multiple threads with multiple servers.  Basic concept of pipelining, overlapped processing stages.  Basic concept of scaling: going faster vs. handling larger problems	(computational paradigms)
SF.2	Cross-Layer Communications	Programming abstractions, interfaces, use of libraries.  Distinction between Application and OS services, Remote Procedure Call.  Application-Virtual Machine Interaction.  Reliability	(cross-layer communication)
SF.3	State and State Machines	Digital vs. Analog/Discrete vs. Continuous Systems.  Simple logic gates, logical expressions, Boolean logic simplification.  Clocks, State, Sequencing.  Combinational Logic, Sequential Logic, Registers, Memories.  Computers and Network Protocols as examples of state machines	(state and state machines)
SF.4	Parallelism	Sequential vs. parallel processing.  Parallel programming vs. concurrent programming.  Request parallelism vs. Task parallelism.  Client-Server/Web Services, Thread (Fork-Join), Pipelining.  Multicore architectures and hardware support for synchronization	(parallelism)
SF.5	Evaluation	Performance figures of merit.  Workloads and representative benchmarks, and methods of collecting and analyzing performance figures of merit.  CPI (Cycles per Instruction) equation as tool for understanding tradeoffs in the design of instruction sets, processor pipelines, and memory system organizations..  Amdahl’s Law: the part of the computation that cannot be sped up limits the effect of the parts that can	(evaluation)
SF.6	Resource Allocation and Scheduling	Kinds of resources (e.g., processor share, memory, disk, net bandwidth).  Kinds of scheduling (e.g., first-come, priority).  Advantages of fair scheduling, preemptive scheduling	(resource allocation and scheduling)
SF.7	Proximity	Speed of light and computers (one foot per nanosecond vs. one GHz clocks).  Latencies in computer systems: memory vs. disk latencies vs. across the network memory.  Caches and the effects of spatial and temporal locality on performance in processors and systems.  Caches and cache coherency in databases, operating systems, distributed systems, and computer architecture.  Introduction into the processor memory hierarchy and the formula for average memory access time	(proximity)
SF.8	Virtualization and Isolation	Rationale for protection and predictable performance.  Levels of indirection, illustrated by virtual memory for managing physical memory resources.  Methods for implementing virtual memory and virtual machines	(virtualization and isolation)
SF.9	Reliability Through Redundancy	Distinction between bugs and faults.  Redundancy through check and retry - 191 -.  Redundancy through redundant encoding (error correcting codes, CRC, FEC).  Duplication/mirroring/replicas.  Other approaches to fault tolerance and availability	(reliability through redundancy)
SF.10	Quantitative Evaluation	Analytical tools to guide quantitative evaluation.  Order of magnitude analysis (Big-Oh notation).  Analysis of slow and fast paths of a system.  Events on their effect on performance (e.g., instruction stalls, cache misses, page faults).  Understanding layered systems, workloads, and platforms, their implications for performance, and the challenges they represent for evaluation.  Microbenchmarking pitfalls	(quantitative evaluation)
SP	Social Issues and Professional Practice	While technical issues are central to the computing curriculum, they do not constitute a complete educational program in the field. Students must also be exposed to the larger societal context of computing to develop an understanding of the relevant social, ethical, legal and professional issues. This need to incorporate the study of these non-technical issues into the ACM curriculum was formally recognized in 1991, as can be seen from the following excerpt [2]: Undergraduates also need to understand the basic cultural, social, legal, and ethical issues inherent in the discipline of computing. They should understand where the discipline has been, where it is, and where it is heading. They should also understand their individual roles in this process, as well as appreciate the philosophical questions, technical problems, and aesthetic values that play an important part in the development of the discipline. Students also need to develop the ability to ask serious questions about the social impact of computing and to evaluate proposed answers to those questions. Future practitioners must be able to anticipate the impact of introducing a given product into a given environment. Will that product enhance or degrade the quality of life? What will the impact be upon individuals, groups, and institutions? Finally, students need to be aware of the basic legal rights of software and hardware vendors and users, and they also need to appreciate the ethical values that are the basis for those rights. Future practitioners must understand the responsibility that they will bear, and the possible consequences of failure. They must understand their own limitations as well as the limitations of their tools. All practitioners must make a long- term commitment to remaining current in their chosen specialties and in the discipline of computing as a whole. As technological advances continue to significantly impact the way we live and work, the critical importance of social issues and professional practice continues to increase; new computer-based products and venues pose ever more challenging problems each year. It is our students who must enter the workforce and academia with intentional regard for the identification and resolution of these problems	(social issues and professional practice)
SP.1	Social Context	Social implications of computing in a networked world (cross-reference HCI/Foundations/social models; IAS/Fundamental Concepts/social issues).  Impact of social media on individualism, collectivism and culture.	(social context)
SP.2	Analytical Tools	Ethical argumentation.  Ethical theories and decision-making.  Moral assumptions and values	(ethical analytical tools)
SP.3	Professional Ethics	Community values and the laws by which we live.  The nature of professionalism including care, attention and discipline, fiduciary responsibility, and mentoring.  Keeping up-to-date as a computing professional in terms of familiarity, tools, skills, legal and professional framework as well as the ability to self-assess and progress in the computing field.  Professional certification, codes of ethics, conduct, and practice, such as the ACM/IEEE-CS, SE, AITP, IFIP and international societies (cross-reference IAS/Fundamental Concepts/ethical issues).  Accountability, responsibility and liability (e.g. software correctness, reliability and safety, as well as ethical confidentiality of cybersecurity professionals)	(professional ethics)
SP.4	Intellectual Property	Philosophical foundations of intellectual property.  Intellectual property rights (cross-reference IM/Information Storage and Retrieval/intellectual property and protection).  Intangible digital intellectual property (IDIP).  Legal foundations for intellectual property protection.  Digital rights management.  Copyrights, patents, trade secrets, trademarks.  Plagiarism	(intellectual property ip)
SP.5	Privacy and Civil Liberties	Philosophical foundations of privacy rights (cross-reference IS/Fundamental Issues/philosophical issues).  Legal foundations of privacy protection.  Privacy implications of widespread data collection for transactional databases, data warehouses, surveillance systems, and cloud computing (cross-reference IM/Database Systems/data independence; IM/Data Mining/data cleaning).  Ramifications of differential privacy.  Technology-based solutions for privacy protection (cross-reference IAS/Threats and Attacks/attacks on privacy and anonymity)	(privacy and civil liberties)
SP.6	Professional Communication	Reading, understanding and summarizing technical material, including source code and documentation.  Writing effective technical documentation and materials.  Dynamics of oral, written, and electronic team and group communication (cross-reference HCI/Collaboration and Communication/group communication; SE/Project Management/team participation).  Communicating professionally with stakeholders.  Utilizing collaboration tools (cross-reference HCI/Collaboration and Communication/online communities; IS/Agents/collaborative agents)	(professional communication)
SP.7	Sustainability	Being a sustainable practitioner by taking into consideration cultural and environmental impacts of implementation decisions (e.g. organizational policies, economic viability, and resource consumption)..  Explore global social and environmental impacts of computer use and disposal (e-waste)	(sustainability)
SP.8	History	Prehistory—the world before 1946.  History of computer hardware, software, networking (cross-reference AR/Digital logic and digital systems/ history of computer architecture).  Pioneers of computing.  History of the Internet	(history)
SP.9	Economies of Computing	Monopolies and their economic implications.  Effect of skilled labor supply and demand on the quality of computing products.  Pricing strategies in the computing domain.  The phenomenon of outsourcing and off-shoring software development; impacts on employment and on economics.  Consequences of globalization for the computer science profession - 202 -.  Differences in access to computing resources and the possible effects thereof.  Cost/benefit analysis of jobs with considerations to manufacturing, hardware, software, and engineering implications.  Cost estimates versus actual costs in relation to total costs.  Entrepreneurship: prospects and pitfalls.  Network effect or demand-side economies of scale.  Use of engineering economics in dealing with finances	(economies of computing)
SP.10	Security Policies, Laws, and Computer Crimes	Examples of computer crimes and legal redress for computer criminals (cross-reference IAS/Digital Forensics/rules of evidence).  Social engineering, identity theft and recovery (cross-reference HCI/Human Factors and Security/trust, privacy and deception).  Issues surrounding the misuse of access and breaches in security.  Motivations and ramifications of cyber terrorism and criminal hacking, “cracking".  Effects of malware, such as viruses, worms and Trojan horses.  Crime prevention strategies.  Security policies (cross-reference IAS/Security Policy and Governance/policies)	(security policies, laws, and computer crimes)
